ID,f1,f2,f3,f4,f5,f6,f7,f8,f9,target
2016_1276_1323,11,6,5,0.64,17.57,13.58,0.66,13.52,10.91,0
2016_1276_1409,11,11,0,0.64,17.57,13.58,0.65,11.85,9.36,1
2016_1277_1292,2,15,-13,0.85,20.34,6.60,0.71,9.23,8.44,0
2016_1292_1393,15,10,5,0.71,9.23,8.44,0.59,13.37,8.46,0
2016_1314_1323,1,6,-5,0.82,16.21,3.67,0.66,13.52,10.91,1
2016_1314_1344,1,9,-8,0.82,16.21,3.67,0.70,10.04,9.10,1
2016_1314_1393,1,10,-9,0.82,16.21,3.67,0.59,13.37,8.46,1
2016_1314_1437,1,2,-1,0.82,16.21,3.67,0.85,17.24,9.80,0
2016_1320_1400,11,6,5,0.64,13.10,10.17,0.63,11.10,9.75,1
2016_1320_1401,11,3,8,0.64,13.10,10.17,0.76,15.65,6.75,0
2016_1323_1372,6,14,-8,0.66,13.52,10.91,0.82,21.65,14.00,1
2016_1323_1458,6,7,-1,0.66,13.52,10.91,0.63,11.00,6.83,1
2016_1328_1332,2,1,1,0.78,14.36,5.71,0.82,13.19,9.00,1
2016_1328_1401,2,3,-1,0.78,14.36,5.71,0.76,15.65,6.75,1
2016_1328_1433,2,10,-8,0.78,14.36,5.71,0.71,16.67,6.30,1
2016_1328_1437,2,2,0,0.78,14.36,5.71,0.85,17.24,9.80,0
2016_1332_1386,1,8,-7,0.82,13.19,9.00,0.79,11.89,8.57,1
2016_1333_1433,7,10,-3,0.60,9.89,11.25,0.71,16.67,6.30,0
2016_1338_1458,10,7,3,0.65,17.45,11.82,0.63,11.00,6.83,0
2016_1344_1425,9,8,1,0.70,10.04,9.10,0.64,15.81,10.92,1
2016_1372_1452,14,3,11,0.82,21.65,14.00,0.76,19.65,10.38,1
2016_1393_1438,10,1,9,0.59,13.37,8.46,0.79,14.58,3.71,1
2016_1401_1453,3,14,-11,0.76,15.65,6.75,0.64,10.67,11.25,1
2016_1421_1437,15,2,13,0.65,11.60,5.73,0.85,17.24,9.80,0
2016_1435_1455,11,11,0,0.59,20.89,7.38,0.74,20.96,7.13,0
2016_1451_1462,15,2,13,0.74,9.96,5.13,0.84,14.70,13.40,0
2016_1458_1462,7,2,5,0.63,11.00,6.83,0.84,14.70,13.40,1
